"label","translation","comment"
"% of the total","% e totalit","Automatically translated"
"% of the total, i.e.","% e totalit, d.m.th.","Automatically translated"
"A shareable link, in that case first sheet will be read","Linku që mund të ndahet, në këtë rast do të lexohet fleta e parë",""
"Add a label to data","Shtoni një etiketë në të dhëna","#TODO #CHECK"
"Add a row","Shtoni një rresht",""
"Apply changes","Apliko ndryshimet",""
"Browse...","Shfletoni...",""
"Cancel","Anulo",""
"Choose a name for the column to be created or modified,","Zgjidhni një emër për kolonën që do të krijohet ose modifikohet,","Automatically translated"
"Choose a number of rows :","Zgjidhni një numër rreshtash:","Automatically translated"
"Choose a percentage :","Zgjidhni një përqindje:","Automatically translated"
"Click on a column name to add it to the expression:","Klikoni në emrin e një kolone për ta shtuar atë në shprehjen:","Automatically translated"
"Click to delete","Klikoni për të fshirë",""
"Click to edit","Klikoni për të redaktuar",""
"Close","Мbyll",""
"Close intervals on the right","Mbyllni intervalet në të djathtë","Automatically translated"
"Column added!","Kolona u shtua!","Automatically translated"
"Convert Numeric to Factor","Konvertoni numerik në faktor","Automatically translated"
"Copy & paste data","Kopjoni dhe ngjisni të dhënat",""
"Copy / Paste","Kopjoni / ngjisni",""
"Count","Numëroni","Automatically translated"
"Create a new column","Krijo një kolonë të re","Automatically translated"
"Create a new variable otherwise replaces the one selected","Krijoni një variabël të ri përndryshe zëvendëson atë të zgjedhur","Automatically translated"
"Create column","Krijo kolonë","Automatically translated"
"Create factor variable","Krijo variabël faktor","Automatically translated"
"Data has %s observations and %s variables.","Të dhënat kanë %s vëzhgime dhe %s variabla",""
"Data ready to be imported!","Të dhënat që janë gati për t'u importuar",""
"Data successfully imported!","Të dhënat u importuan me sukses",""
"Data successfully updated!","Të dhënat janë azhurnuar me sukses!",""
"Data wasn't deleted","Të dhënat nuk u fshinë","Automatically translated"
"Data wasn't updated","Të dhënat nuk u përditësuan","Automatically translated"
"Dataset validation:","Vërtetimi i grupit të të dhënave:","Automatically translated"
"Date format:","Formati i datës:",""
"Date to use as origin to convert date/datetime:","Data që do të përdoret për të konvertuar ndryshoren date/datetime",""
"Decimal separator:","Ndarësi dhjetor:",""
"Delete","Fshije",""
"Do you want to delete the selected row ?","Dëshironi të fshini rreshtin e zgjedhur?",""
"Encoding:","Kodimi:",""
"Enter URL to data:","Futni URL-në e të dhënave:","Automatically translated"
"Enter a shareable link to a GoogleSheet:","Futni një link që mund të ndahet në GoogleSheet:",""
"Enter an expression to define new column:","Futni një shprehje për të përcaktuar kolonën e re:","Automatically translated"
"Environment","Mjedisi",""
"Error","Gabim",""
"External file","Skedari i jashtëm",""
"Factor variable to reorder:","Ndryshorja e faktorit për të rirenditur:","Automatically translated"
"Failed","Dështim",""
"First five rows are shown below:","Pesë rreshtat e parë janë treguar më poshtë:",""
"Googlesheets","Googlesheets",""
"Group calculation by:","Llogaritja e grupit sipas:","Automatically translated"
"Help","Ndihmë",""
"How to import data?","Si të importoni të dhëna?",""
"Import","Importo",""
"Import Google Spreadsheet","Importoni GoogleSheet",""
"Import Url","Importo Url","Automatically translated"
"Import a dataset from an environment","Importoni një grup të dhënash nga mjedisi",""
"Import a file","Importoni skedar",""
"Import data","Importoni të dhënat",""
"Imported data","Të dhëna të importuara","Automatically translated"
"Include lowest value","Përfshi vlerën më të ulët","Automatically translated"
"Information","Informacion",""
"Item has been modified","Artikulli është modifikuar",""
"Levels","Nivelet","Automatically translated"
"List of data.frame...","Lista e tabelave të të dhënave (data.frame)",""
"Max:","Maksimumi:","Automatically translated"
"Mean:","Mesatarja:","Automatically translated"
"Method:","Metoda:","Automatically translated"
"Min:","Min.:","Automatically translated"
"Missing values characters:","Karakteret e vlerave që mungojnë:","Automatically translated"
"Missing:","Mungon:","Automatically translated"
"Most Common:","Më e zakonshme:","Automatically translated"
"New column name cannot be empty","Emri i kolonës së re nuk mund të jetë bosh","Automatically translated"
"New column name:","Emri i kolonës së re:","Automatically translated"
"No","Nr",""
"No data selected!","Nuk ka të dhëna të zgjedhura!",""
"No data to display.","Nuk ka të dhëna për t’u shfaqur.",""
"No data.frame here...","Këtu nuk ka të dhëna (data.frame) ...",""
"No file selected","Nuk është zgjedhur asnjë dokument",""
"No file selected:","Nuk është zgjedhur asnjë dokument:",""
"Not a data.frame","Jo një të dhëna.kornizë","Automatically translated"
"Nothing pasted yet!","Asgjë nuk është ngjitur deri më tani!",""
"Number of breaks:","Numri i pushimeve:","Automatically translated"
"Number of rows:","Numri i rreshtave:",""
"OK","Në rregull",""
"Ooops","Ups",""
"Paste data here:","Ngjitni të dhënat tuaja këtu:",""
"Please copy and paste some data in the dialog box above.","Ju lutemi kopjoni dhe ngjisni disa të dhëna në dritaren e dialogut më poshtë",""
"Please fill in the required fields","Ju lutemi plotësoni fushat e kërkuara",""
"Please paste a valid GoogleSheet link in the dialog box above.","Ju lutemi ngjisni një link të vlefshëm në GoogleSheet në dritaren e dialogut më poshtë.",""
"Please paste a valid link in the dialog box above.","Ju lutemi ngjitni një lidhje të vlefshme në kutinë e dialogut të mësipërm.","Automatically translated"
"Registered","I regjistruar",""
"Required field","Fusha e kërkuar",""
"Row has been saved","Rreshti është ruajtur",""
"Row was not deleted","Rreshti nuk u fshi",""
"Rows to skip before reading data:","Rreshtat për t'u kapërcyer përpara se të lexohen të dhënat:","Automatically translated"
"Sample data by :","Mostra e të dhënave sipas:","Automatically translated"
"Save","Ruaj",""
"Select","Zgjidhni",""
"Select a data.frame:","Zgjidhni data.frame",""
"Select an environment in which to search:","Zgjidhni një mjedis në të cilin do të kërkoni",""
"Select environment","Zgjidhni një mjedis",""
"Select sheet to import:","Zgjidhni një fletë për ta importuar",""
"Some operations are not allowed","Disa operacione nuk lejohen","Automatically translated"
"Something went wrong...","Diçka shkoi keq...",""
"Sort count","Rendit numërimin","Automatically translated"
"The URL that appear in your browser, in that case the current sheet will be read","URL-ja që shfaqet në shfletuesin tuaj, në këtë rast do të lexohet fleta e parë",""
"The row has been deleted","Rreshti është fshirë",""
"The row wasn't added to the data","Rreshti nuk u shtua te të dhënat","Automatically translated"
"URL","URL","Automatically translated"
"Unable to add the row, contact the platform administrator","Rreshti nuk mund të shtohet, kontakto me administratorin e platformës",""
"Unable to delete the row, contact platform administrator","Rreshti nuk mund të fshihet, kontakto me administratorin e platformës",""
"Unable to modify the item, contact the platform administrator","Artikulli nuk mund të modifikohet, kontaktoni administratorin e platformës",""
"Unique values:","Vlerat unike:","Automatically translated"
"Unique:","Unike:","Automatically translated"
"Update","Azhurno",""
"Update & select variables","Azhurnoni dhe zgjidhni variablat",""
"Update factor variable","Përditëso variablin e faktorit","Automatically translated"
"Update levels of a factor","Përditëso nivelet e një faktori","Automatically translated"
"Update row","Përditëso rreshtin",""
"Upload a file:","Bashkangjitni një dokument:",""
"Use a data.frame from your environment or from the environment of a package.","Përdorni data.frame nga mjedisi juaj ose nga mjedisi i paketës",""
"Valid number of columns","Numri i vlefshëm i kolonave","Automatically translated"
"Valid number of rows","Numri i vlefshëm i rreshtave","Automatically translated"
"Validate","Verifiko",""
"Validation:","Verifikimi:",""
"Variable to cut:","Ndryshore për prerje:","Automatically translated"
"View","Shiko",""
"Warning","Paralajmërim","Automatically translated"
"Yes","po",""
"You can either use:","Mund ta përdorni edhe ndonjërën nga këto:",""
"You can import %s files","Mund të importoni dokumente %s",""
"You can import from flat table format supported by","Mund të importoni nga formati i tabelës së sheshtë i mbështetur nga","Automatically translated"
"click to see data","Klikoni këtu për t’i parë të dhënat",""
"data has %s obs. of %s variables.","Të dhënat kanë %vëzhgime dhe %variabla",""
"if several use a comma ',' to separate them","nëse disa përdorin presje ',' për t'i ndarë","Automatically translated"
"lines, i.e.","vijat, d.m.th.","Automatically translated"
"number of rows","numri i rreshtave","Automatically translated"
"proportion of rows","proporcioni i rreshtave","Automatically translated"
"rows","rreshtave","Automatically translated"
"then enter an expression before clicking on the button above to validate or on ","pastaj futni një shprehje përpara se të klikoni në butonin e mësipërm për të vërtetuar ose aktivizuar","Automatically translated"
"to delete it.","për ta fshirë.","Automatically translated"
"Sort by count","Rendit sipas numërimit","Automatically translated"
"Sort by levels","Rendit sipas niveleve","Automatically translated"
