"label","translation","comment"
"% of the total","% von allen","Automatically translated"
"% of the total, i.e.","% der Gesamtmenge, d.h.","Automatically translated"
"A shareable link, in that case first sheet will be read","Ein teilbarer Link, in diesem Fall wird das erste Arbeitsblatt eingelesen",""
"Add a label to data","Bezeichnung zu Daten hinzufügen",""
"Add a row","Fügen Sie eine Zeile hinzu",""
"Apply changes","Änderungen übernehmen",""
"Browse...","Durchsuchen...",""
"Cancel","Absagen",""
"Choose a name for the column to be created or modified,","Wählen Sie einen Namen für die Spalte, die erstellt oder geändert werden soll.","Automatically translated"
"Choose a number of rows :","Wählen Sie eine Anzahl von Zeilen:","Automatically translated"
"Choose a percentage :","Wählen Sie einen Prozentsatz:","Automatically translated"
"Click on a column name to add it to the expression:","Klicken Sie auf einen Spaltennamen, um ihn dem Ausdruck hinzuzufügen:","Automatically translated"
"Click to delete","Zum Löschen klicken",""
"Click to edit","Zum Bearbeiten anklicken",""
"Close","Schließen",""
"Close intervals on the right","Schließen Sie die Intervalle rechts","Automatically translated"
"Column added!","Spalte hinzugefügt!","Automatically translated"
"Convert Numeric to Factor","Numerisch in Faktor umwandeln","Automatically translated"
"Copy & paste data","Daten hier Kopieren und Einfügen",""
"Copy / Paste","Kopieren / Einfügen",""
"Count","Zählen","Automatically translated"
"Create a new column","Erstellen Sie eine neue Spalte","Automatically translated"
"Create a new variable otherwise replaces the one selected","Erstellen Sie eine neue Variable, andernfalls ersetzt sie die ausgewählte","Automatically translated"
"Create column","Spalte erstellen","Automatically translated"
"Create factor variable","Faktorvariable erstellen","Automatically translated"
"Data has %s observations and %s variables.","Daten haben %s Einträge und %s Variablen.",""
"Data ready to be imported!","Daten bereit zum Import",""
"Data successfully imported!","Daten erfolgreich importiert!",""
"Data successfully updated!","Daten Aktualisierung erfolgreich !",""
"Data wasn't deleted","Daten wurden nicht gelöscht","Automatically translated"
"Data wasn't updated","Daten wurden nicht aktualisiert","Automatically translated"
"Dataset validation:","Datensatzvalidierung:","Automatically translated"
"Date format:","Datumsformat :",""
"Date to use as origin to convert date/datetime:","Ursprungsdatum zur Umwandlung von Datum/Datum-Zeit  :",""
"Decimal separator:","Dezimaltrennzeichen:",""
"Delete","Löschen",""
"Do you want to delete the selected row ?","Möchten Sie die ausgewählte Zeile löschen?",""
"Encoding:","Codierung:",""
"Enter URL to data:","Geben Sie die URL zu den Daten ein:","Automatically translated"
"Enter a shareable link to a GoogleSheet:","Teilbaren GoogleSheet Link eingeben:",""
"Enter an expression to define new column:","Geben Sie einen Ausdruck ein, um eine neue Spalte zu definieren:","Automatically translated"
"Environment","Umgebung",""
"Error","Fehler",""
"External file","Externe Datei",""
"Factor variable to reorder:","Neu anzuordnende Faktorvariable:","Automatically translated"
"Failed","Fehlgeschlagen",""
"First five rows are shown below:","Die ersten fünf Reihen werden unten angezeigt:",""
"Googlesheets","Googlesheets",""
"Group calculation by:","Gruppenberechnung nach:","Automatically translated"
"Help","Hilfe",""
"How to import data?","Wie sollen Daten importiert werden ?",""
"Import","Importieren",""
"Import Google Spreadsheet","GoogleSheet importieren",""
"Import Url","URL importieren","Automatically translated"
"Import a dataset from an environment","Importieren Sie ein Datenset aus einer Umgebung",""
"Import a file","Datei importieren",""
"Import data","Daten importieren",""
"Imported data","Importierte Daten","Automatically translated"
"Include lowest value","Geben Sie den niedrigsten Wert an","Automatically translated"
"Information","Information",""
"Item has been modified","Artikel wurde geändert",""
"Levels","Ebenen","Automatically translated"
"List of data.frame...","Liste der Daten-Tabellen",""
"Max:","Maximal:","Automatically translated"
"Mean:","Bedeuten:","Automatically translated"
"Method:","Methode:","Automatically translated"
"Min:","Mindest:","Automatically translated"
"Missing values characters:","Fehlende Wertezeichen:","Automatically translated"
"Missing:","Fehlen:","Automatically translated"
"Most Common:","Am gebräuchlichsten:","Automatically translated"
"New column name cannot be empty","Der neue Spaltenname darf nicht leer sein","Automatically translated"
"New column name:","Neuer Spaltenname:","Automatically translated"
"No","Nein",""
"No data selected!","Keine Daten ausgewählt!",""
"No data to display.","Keine Daten zum Anzeigen.",""
"No data.frame here...","Keine Daten-Tabellen hier...",""
"No file selected","Keine Datei ausgewählt",""
"No file selected:","Keine Datei ausgewählt",""
