"label","translation","comment"
"% of the total","% del total","Automatically translated"
"% of the total, i.e.","% del total, es decir","Automatically translated"
"A shareable link, in that case first sheet will be read","Un enlace compartible, en ese caso, primera hoja se leerá",""
"Add a label to data","Añadir una etiqueta a los datos",""
"Add a row","Agregar una fila",""
"Apply changes","Aplicar cambios",""
"Browse...","Explorar...",""
"Cancel","Cancelar",""
"Choose a name for the column to be created or modified,","Elija un nombre para la columna que se creará o modificará,","Automatically translated"
"Choose a number of rows :","Elija una cantidad de filas:","Automatically translated"
"Choose a percentage :","Elige un porcentaje:","Automatically translated"
"Click on a column name to add it to the expression:","Haga clic en el nombre de una columna para agregarla a la expresión:","Automatically translated"
"Click to delete","Haga clic para eliminar",""
"Click to edit","Haz click para editar",""
"Close","Cerrar",""
"Close intervals on the right","Cerrar intervalos a la derecha","Automatically translated"
"Column added!","¡Columna agregada!","Automatically translated"
"Convert Numeric to Factor","Convertir numérico a factor","Automatically translated"
"Copy & paste data","Copiar y pegar datos","Automatically translated"
"Copy / Paste","Copiar / Pegar",""
"Count","Contar","Automatically translated"
"Create a new column","Crear una nueva columna","Automatically translated"
"Create a new variable otherwise replaces the one selected","Crea una nueva variable, de lo contrario reemplaza la seleccionada","Automatically translated"
"Create column","Crear columna","Automatically translated"
"Create factor variable","Crear variable de factor","Automatically translated"
"Data has %s observations and %s variables.","Los datos tienen %s obs. de %s variables.",""
"Data ready to be imported!","¡Datos listos para ser importados!","Automatically translated"
"Data successfully imported!","Datos importados con éxito!",""
"Data successfully updated!","Datos actualizados con éxito!",""
"Data wasn't deleted","Los datos no fueron eliminados","Automatically translated"
"Data wasn't updated","Los datos no fueron actualizados.","Automatically translated"
"Dataset validation:","Validación del conjunto de datos:","Automatically translated"
"Date format:","Formato de fecha :",""
"Date to use as origin to convert date/datetime:","Fecha a usar como origen para convertir fecha/datetime :",""
"Decimal separator:","Separador decimal :",""
"Delete","Borrar",""
"Do you want to delete the selected row ?","¿Desea eliminar la fila seleccionada?",""
"Encoding:","Codificación :",""
"Enter URL to data:","Ingrese la URL a los datos:","Automatically translated"
"Enter a shareable link to a GoogleSheet:","Introduzca un enlace compartible a un archivo de GoogleSheet:",""
"Enter an expression to define new column:","Ingrese una expresión para definir una nueva columna:","Automatically translated"
"Environment","Entorno",""
"Error","Error",""
"External file","Archivo externo",""
"Factor variable to reorder:","Variable factorial a reordenar:","Automatically translated"
"Failed","Falló",""
"First five rows are shown below:","Las cinco primeras filas se muestran a continuación:",""
"Googlesheets","Archivos de GoogleSheet",""
"Group calculation by:","Cálculo de grupo por:","Automatically translated"
"Help","Ayuda",""
"How to import data?","¿Cómo importar datos?",""
"Import","Importar",""
"Import Google Spreadsheet","Importar hoja de cálculo de Google","Automatically translated"
"Import Url","Importar URL","Automatically translated"
"Import a dataset from an environment","Importar un conjunto de datos desde un entorno","Automatically translated"
"Import a file","Importar un archivo","Automatically translated"
"Import data","Importar datos",""
"Imported data","Datos importados","Automatically translated"
"Include lowest value","Incluir el valor más bajo","Automatically translated"
"Information","Información",""
"Item has been modified","El artículo ha sido modificado",""
"Levels","Niveles","Automatically translated"
"List of data.frame...","Lista de data.frame...",""
