"label","translation","comment"
"% of the total","% од вкупниот број","Automatically translated"
"% of the total, i.e.","% од вкупниот број, т.е.","Automatically translated"
"A shareable link, in that case first sheet will be read","Врска којашто може да се сподели, во овој случај првата страна ќе биде прочитана",""
"Add a label to data","Додадете етикета на податоците","#TODO #CHECK"
"Add a row","Додадете ред",""
"Apply changes","Применете ги промените",""
"Browse...","Пребарувајте...",""
"Cancel","Откажи",""
"Choose a name for the column to be created or modified,","Изберете име за колоната што треба да се креира или измени,","Automatically translated"
"Choose a number of rows :","Изберете голем број редови:","Automatically translated"
"Choose a percentage :","Изберете процент:","Automatically translated"
"Click on a column name to add it to the expression:","Кликнете на името на колоната за да го додадете во изразот:","Automatically translated"
"Click to delete","Кликнете за да избришете",""
"Click to edit","Кликнете за уредување",""
"Close","Затвори",""
"Close intervals on the right","Затворете ги интервалите од десната страна","Automatically translated"
"Column added!","Колона е додадена!","Automatically translated"
"Convert Numeric to Factor","Конвертирај нумерички во фактор","Automatically translated"
"Copy & paste data","Копирајте и залепете податоци",""
"Copy / Paste","Копирај / залепи",""
"Count","брои","Automatically translated"
"Create a new column","Направете нова колона","Automatically translated"
"Create a new variable otherwise replaces the one selected","Креирајте нова променлива инаку ја заменува избраната","Automatically translated"
"Create column","Креирај колона","Automatically translated"
"Create factor variable","Креирај променлива на фактор","Automatically translated"
"Data has %s observations and %s variables.","Податоците имаат %s опсервации и %s варијабли.",""
"Data ready to be imported!","Податоци коишто се спремни за да бидат увезени",""
"Data successfully imported!","Успешно увезени податоци",""
"Data successfully updated!","Податоците се успешно ажурирани!",""
"Data wasn't deleted","Податоците не се избришани","Automatically translated"
"Data wasn't updated","Податоците не беа ажурирани","Automatically translated"
"Dataset validation:","Потврда на сет на податоци:","Automatically translated"
"Date format:","Формат на датум:",""
"Date to use as origin to convert date/datetime:","Датум што треба да се користи за конвертирање на date/datetime променлива",""
"Decimal separator:","Децимален раздвојник:",""
"Delete","Избриши",""
"Do you want to delete the selected row ?","Дали сакате да го избришете избраниот ред?",""
"Encoding:","Енкодинг:",""
"Enter URL to data:","Внесете URL на податоците:","Automatically translated"
"Enter a shareable link to a GoogleSheet:","Внесете врска којшто може да се сподели во GoogleSheet:",""
"Enter an expression to define new column:","Внесете израз за да дефинирате нова колона:","Automatically translated"
"Environment","Околина",""
"Error","Грешка",""
"External file","Надворешна датотека",""
"Factor variable to reorder:","Факторска променлива за прередување:","Automatically translated"
