"label","translation","comment"
"% of the total","% całkowitej","Automatically translated"
"% of the total, i.e.","% całości, tj.","Automatically translated"
"A shareable link, in that case first sheet will be read","Linku do udostępniania (zostanie odczytany pierwszy arkusz)",""
"Add a label to data","Dodaj etykietę do danych",""
"Add a row","Dodaj wiersz",""
"Apply changes","Zastosuj zmiany",""
"Browse...","Przeglądaj...",""
"Cancel","Anuluj",""
"Choose a name for the column to be created or modified,","Wybierz nazwę kolumny, która ma zostać utworzona lub zmodyfikowana,","Automatically translated"
"Choose a number of rows :","Wybierz liczbę wierszy:","Automatically translated"
"Choose a percentage :","Wybierz procent:","Automatically translated"
"Click on a column name to add it to the expression:","Kliknij nazwę kolumny, aby dodać ją do wyrażenia:","Automatically translated"
"Click to delete","Naciśnij by usunąć",""
"Click to edit","Naciśnij by edytować",""
"Close","Zamknij.",""
"Close intervals on the right","Zamknij odstępy po prawej stronie","Automatically translated"
"Column added!","Dodano kolumnę!","Automatically translated"
"Convert Numeric to Factor","Zamień liczbę na współczynnik","Automatically translated"
"Copy & paste data","Kopiuj i wklej dane",""
"Copy / Paste","Kopiuj / wklej",""
"Count","Liczyć","Automatically translated"
"Create a new column","Utwórz nową kolumnę","Automatically translated"
"Create a new variable otherwise replaces the one selected","Utwórz nową zmienną, w przeciwnym razie zastępuje wybraną","Automatically translated"
"Create column","Utwórz kolumnę","Automatically translated"
"Create factor variable","Utwórz zmienną czynnikową","Automatically translated"
"Data has %s observations and %s variables.","dane zawierają %s obserwacji i %s zmiennych.",""
"Data ready to be imported!","Dane gotowe do importu!",""
"Data successfully imported!","Dane zaimportowano pomyślnie!",""
"Data successfully updated!","Dane pomyślnie zaktualizowano",""
"Data wasn't deleted","Dane nie zostały usunięte","Automatically translated"
"Data wasn't updated","Dane nie zostały zaktualizowane","Automatically translated"
"Dataset validation:","Walidacja zbioru danych:","Automatically translated"
"Date format:","Format dat:",""
"Date to use as origin to convert date/datetime:","Data do użycia jako początkowa do konwersji dat/dat i czasu",""
"Decimal separator:","Separator dziesiętny:",""
"Delete","Usuń",""
"Do you want to delete the selected row ?","Czy na pewo chcesz usunąć ten wiersz?",""
"Encoding:","Kodowanie:",""
"Enter URL to data:","Wpisz adres URL do danych:","Automatically translated"
"Enter a shareable link to a GoogleSheet:","Wprowadź link do udostępniania Arkusza Google:",""
"Enter an expression to define new column:","Wprowadź wyrażenie definiujące nową kolumnę:","Automatically translated"
"Environment","Środowisko",""
"Error","Błąd",""
"External file","Plik zewnętrzny",""
"Factor variable to reorder:","Zmienna czynnikowa do zmiany kolejności:","Automatically translated"
"Failed","Nie udało się",""
"First five rows are shown below:","Poniżej pokazano pięć pierwszych wierszy:",""
"Googlesheets","Arkusze Google",""
"Group calculation by:","Obliczenia grupowe według:","Automatically translated"
"Help","Pomoc",""
"How to import data?","Jak zaimportować dane?",""
"Import","Importuj",""
"Import Google Spreadsheet","Importuj z Arkuszy Google",""
"Import Url","Importuj adres URL","Automatically translated"
"Import a dataset from an environment","Importuj dane ze środowiska",""
"Import a file","Importuj plik",""
"Import data","Importuj dane",""
"Imported data","Zaimportowane dane","Automatically translated"
"Include lowest value","Uwzględnij najniższą wartość","Automatically translated"
"Information","Informacje",""
"Item has been modified","Obiekt został zmieniony",""
"Levels","Poziomy","Automatically translated"
"List of data.frame...","Lista obiektów data.frame...",""
"Max:","Maks:","Automatically translated"
"Mean:","Mieć na myśli:","Automatically translated"
"Method:","Metoda:","Automatically translated"
"Min:","Min.:","Automatically translated"
"Missing values characters:","Brakujące znaki wartości:","Automatically translated"
"Missing:","Zaginiony:","Automatically translated"
"Most Common:","Najczęściej:","Automatically translated"
"New column name cannot be empty","Nazwa nowej kolumny nie może być pusta","Automatically translated"
"New column name:","Nowa nazwa kolumny:","Automatically translated"
"No","Nie",""
"No data selected!","Nie wybrano danych!",""
"No data to display.","Brak danych do wyświetlenia.",""
"No data.frame here...","Brak obiektów data.frame",""
"No file selected","Nie wybrano żadnego pliku",""
"No file selected:","Nie wybrano pliku:",""
"Not a data.frame","Nie ramka danych","Automatically translated"
"Nothing pasted yet!","Jeszcze nic nie wklejono!",""
"Number of breaks:","Liczba przerw:","Automatically translated"
"Number of rows:","Liczba wierszy:",""
"OK","OK",""
"Ooops","Upsss",""
"Paste data here:","Wklej dane tutaj:",""
"Please copy and paste some data in the dialog box above.","Proszę skopiować i wkleić dane do okienka powyżej.",""
"Please fill in the required fields","Proszę wypełnić wymagane pola",""
"Please paste a valid GoogleSheet link in the dialog box above.","Proszę wprowadzić popeawny link do Arkusza Google w okienku powyżej.",""
"Please paste a valid link in the dialog box above.","Wklej prawidłowy link w powyższym oknie dialogowym.","Automatically translated"
"Registered","Zarejestrowano",""
"Required field","Pole wymagane",""
"Row has been saved","Wiersz został zapisany",""
"Row was not deleted","Wiersz nie został usunięty",""
"Rows to skip before reading data:","Wiersze do pominięcia przed odczytaniem danych:","Automatically translated"
"Sample data by :","Przykładowe dane według:","Automatically translated"
"Save","Ratować",""
"Select","Wybierz",""
"Select a data.frame:","Wybierz data.frame:",""
"Select an environment in which to search:","Wybierz środowisko, w którym chcesz szukać:",""
"Select environment","Wybierz środowisko",""
"Select sheet to import:","Wybierz arkusz:",""
"Some operations are not allowed","Niektóre operacje są niedozwolone","Automatically translated"
"Something went wrong...","Coś poszło nie tak...",""
"Sort count","Liczba sortowań","Automatically translated"
"The URL that appear in your browser, in that case the current sheet will be read","Linku z przeglądarki (zostanie odczytany aktualny arkusz)",""
"The row has been deleted","Wiersz został usunięty",""
"The row wasn't added to the data","Wiersz nie został dodany do danych","Automatically translated"
"URL","URL",""
"Unable to add the row, contact the platform administrator","Brak możliwości dodania wiersza, skontaktuj się z administratorem",""
"Unable to delete the row, contact platform administrator","Brak możliwości usunięcia wiersza, skontaktuj się z administratorem",""
"Unable to modify the item, contact the platform administrator","Brak możliwości modyfikacji obiektu, skontaktuj się z administratorem",""
"Unique values:","Unikalne wartości:","Automatically translated"
"Unique:","Unikalny:","Automatically translated"
"Update","Zaktualizuj",""
"Update & select variables","Zaktualizuj i wybierz zmienne",""
"Update factor variable","Aktualizuj zmienną współczynnika","Automatically translated"
"Update levels of a factor","Aktualizuj poziomy czynnika","Automatically translated"
"Update row","Zaktualizuj wiersz",""
"Upload a file:","Wgraj plik:",""
"Use a data.frame from your environment or from the environment of a package.","Użyj obiektu data.frame ze swojego środowiska lub ze środowiska pakietu.",""
"Valid number of columns","Prawidłowa liczba kolumn","Automatically translated"
"Valid number of rows","Prawidłowa liczba wierszy","Automatically translated"
"Validate","Sprawdź",""
"Validation:","Sprawdzenie:",""
"Variable to cut:","Zmienna do cięcia:","Automatically translated"
"View","Pokaż",""
"Warning","Ostrzeżenie","Automatically translated"
"Yes","Tak",""
"You can either use:","Możesz użyć:",""
"You can import %s files","Możesz zaimportować %s plików",""
"You can import from flat table format supported by","Możesz importować z formatu płaskiej tabeli obsługiwanego przez","Automatically translated"
"click to see data","kliknij by zobaczyć dane",""
"data has %s obs. of %s variables.","dane zawierają %s obserwacji %s zmiennych.",""
"if several use a comma ',' to separate them","jeśli kilka z nich użyje przecinka „,” aby je oddzielić","Automatically translated"
"lines, i.e.","linie, tj.","Automatically translated"
"number of rows","Liczba rzędów","Automatically translated"
"proportion of rows","proporcja rzędów","Automatically translated"
"rows","wydziwianie","Automatically translated"
"then enter an expression before clicking on the button above to validate or on ","następnie wprowadź wyrażenie przed kliknięciem przycisku powyżej, aby zatwierdzić lub włączyć","Automatically translated"
"to delete it.","aby go usunąć.","Automatically translated"
"Sort by count","Sortuj według liczby","Automatically translated"
"Sort by levels","Sortuj według poziomów","Automatically translated"
