"label","translation","comment"
"% of the total","% do total","Automacally translated"
"% of the total, i.e.","% do total, ou seja,","Automacally translated"
"A shareable link, in that case first sheet will be read","Um link compartilhável, nesse caso a primeira aba será lida",""
"Add a label to data","Adicionar uma etiqueta aos dados","#TODO #CHECK"
"Add a row","Adicionar uma linha",""
"Apply changes","Aplique as mudanças",""
"Browse...","Buscar...",""
"Cancel","Cancelar",""
"Choose a name for the column to be created or modified,","Escolha um nome para a coluna a ser criada ou modificada,","Automacally translated"
"Choose a number of rows :","Escolha um número de linhas:","Automacally translated"
"Choose a percentage :","Escolha uma porcentagem:","Automacally translated"
"Click on a column name to add it to the expression:","Clique no nome de uma coluna para adicioná-la à expressão:","Automacally translated"
"Click to delete","Clique para deletar",""
"Click to edit","Clique para editar",""
"Close","Fechar",""
"Close intervals on the right","Intervalos próximos à direita","Automacally translated"
"Column added!","Coluna adicionada!","Automacally translated"
"Convert Numeric to Factor","Converter numérico em fator","Automacally translated"
"Copy & paste data","Copie & cole os dados",""
"Copy / Paste","Copie / Cole",""
"Count","Contar","Automacally translated"
"Create a new column","Crie uma nova coluna","Automacally translated"
"Create a new variable otherwise replaces the one selected","Crie uma nova variável, caso contrário substituirá a selecionada","Automacally translated"
"Create column","Criar coluna","Automacally translated"
"Create factor variable","Criar variável de fator","Automacally translated"
"Data has %s observations and %s variables.","Os dados possuem %s observações de %s variáveis.",""
"Data ready to be imported!","Dados prontos para serem importados!",""
"Data successfully imported!","Dados importados com sucesso!",""
"Data successfully updated!","Os dados foram modificados com sucesso!",""
"Data wasn't deleted","Os dados não foram excluídos","Automacally translated"
"Data wasn't updated","Os dados não foram atualizados","Automacally translated"
"Dataset validation:","Validação do conjunto de dados:","Automacally translated"
"Date format:","Formato dos dados:",""
"Date to use as origin to convert date/datetime:","Data para usar como origem para converter date/datetime:",""
"Decimal separator:","Separador decimal:",""
"Delete","Excluir",""
"Do you want to delete the selected row ?","Deseja excluir a linha selecionada?",""
"Encoding:","Encoding:",""
"Enter URL to data:","Insira o URL para os dados:","Automacally translated"
"Enter a shareable link to a GoogleSheet:","Coloque um link compartilhável para o GoogleSheet:",""
"Enter an expression to define new column:","Insira uma expressão para definir a nova coluna:","Automacally translated"
"Environment","Ambiente local",""
"Error","Erro",""
"External file","Arquivo externo",""
"Factor variable to reorder:","Variável de fator para reordenar:","Automacally translated"
"Failed","Falha",""
"First five rows are shown below:","As cinco primeiras linhas são mostradas abaixo:",""
"Googlesheets","Googlesheets",""
"Group calculation by:","Cálculo do grupo por:","Automacally translated"
"Help","Ajuda",""
"How to import data?","Como importar os dados?",""
"Import","Importar",""
"Import Google Spreadsheet","Importe um Spreadsheet do Google",""
"Import Url","Url de importação","Automacally translated"
"Import a dataset from an environment","Importe um conjunto de dados do ambiente local",""
"Import a file","Importe um arquivo",""
"Import data","Importe os dados",""
"Imported data","Dados importados","Automacally translated"
"Include lowest value","Incluir o valor mais baixo","Automacally translated"
"Information","Em formação",""
"Item has been modified","O item foi modificado",""
"Levels","Níveis","Automacally translated"
"List of data.frame...","Lista de data.frame...",""
"Max:","Máx.:","Automacally translated"
"Mean:","Significar:","Automacally translated"
"Method:","Método:","Automacally translated"
"Min:","Mínimo:","Automacally translated"
"Missing values characters:","Caracteres de valores ausentes:","Automacally translated"
"Missing:","Ausente:","Automacally translated"
"Most Common:","Mais comum:","Automacally translated"
"New column name cannot be empty","O novo nome da coluna não pode ficar vazio","Automacally translated"
"New column name:","Novo nome de coluna:","Automacally translated"
"No","Não",""
"No data selected!","Nenhum dado foi selecionado!",""
"No data to display.","Nenhum dado para mostrar.",""
"No data.frame here...","Nenhum data.frame aqui...",""
"No file selected","Nenhum arquivo selecionado",""
"No file selected:","Nenhum arquivo selecionado:",""
"Not a data.frame","Não é um data.frame","Automacally translated"
"Nothing pasted yet!","Nada foi colado ainda!",""
"Number of breaks:","Número de pausas:","Automacally translated"
"Number of rows:","Número de linhas:",""
"OK","OK",""
"Ooops","Ooops",""
"Paste data here:","Cole os dados aqui:",""
"Please copy and paste some data in the dialog box above.","Por favor, copie e cole algum dado na caixa de diálogo acima.",""
"Please fill in the required fields","Por favor, preencha os campos obrigatórios",""
"Please paste a valid GoogleSheet link in the dialog box above.","Por favor, cole um link válido para o GoogleSheet na caixa de diálogo acima.",""
"Please paste a valid link in the dialog box above.","Cole um link válido na caixa de diálogo acima.","Automacally translated"
"Registered","Registrado",""
"Required field","Campo obrigatório",""
"Row has been saved","A linha foi salva",""
"Row was not deleted","A linha não foi excluída",""
"Rows to skip before reading data:","Linhas a serem ignoradas antes da leitura dos dados:","Automacally translated"
"Sample data by :","Dados de amostra por:","Automacally translated"
"Save","Salvar",""
"Select","Selecionar",""
"Select a data.frame:","Selecione um data.frame :",""
"Select an environment in which to search:","Selecione um ambiente local para a busca:",""
"Select environment","Selecione um ambiente local",""
"Select sheet to import:","Selecione uma aba para importar:",""
"Some operations are not allowed","Algumas operações não são permitidas","Automacally translated"
"Something went wrong...","Algo deu errado...",""
"Sort count","Contagem de classificação","Automacally translated"
"Sort levels","Classificar níveis","Automacally translated"
"The URL that appear in your browser, in that case the current sheet will be read","A URL que aparece no seu navegador, nesse caso a aba atual será lida",""
"The row has been deleted","A linha foi excluída",""
"The row wasn't added to the data","A linha não foi adicionada aos dados","Automacally translated"
"URL","URL","Automacally translated"
