"label","translation","comment"
"% of the total","toplamın yüzdesi","Automatically translated"
"% of the total, i.e.","Toplamın yüzdesi, yani","Automatically translated"
"A shareable link, in that case first sheet will be read","Paylaşılabilir bir bağlantı, bu durumda ilk sayfa okunacak",""
"Add a label to data","Veriyi etiketle",""
"Add a row","satır ekle",""
"Apply changes","Değişiklikleri uygula",""
"Browse...","Gözat...",""
"Cancel","İptal",""
"Choose a name for the column to be created or modified,","Oluşturulacak veya değiştirilecek sütun için bir ad seçin,","Automatically translated"
"Choose a number of rows :","Bir dizi satır seçin:","Automatically translated"
"Choose a percentage :","Bir yüzde seçin:","Automatically translated"
"Click on a column name to add it to the expression:","İfadeye eklemek için bir sütun adına tıklayın:","Automatically translated"
"Click to delete","silmek için tıklayın",""
"Click to edit","Düzenlemek için tıkla",""
"Close","Kapat",""
"Close intervals on the right","Sağdaki yakın aralıklar","Automatically translated"
"Column added!","Sütun eklendi!","Automatically translated"
"Convert Numeric to Factor","Sayıyı Faktöre Dönüştür","Automatically translated"
"Copy & paste data","Veriyi kopyala & yapıştır",""
"Copy / Paste","Kopyala / Yapıştır",""
"Count","Saymak","Automatically translated"
"Create a new column","Yeni bir sütun oluştur","Automatically translated"
"Create a new variable otherwise replaces the one selected","Yeni bir değişken oluşturun, aksi halde seçilen değişkenin yerine geçer","Automatically translated"
"Create column","Sütun oluştur","Automatically translated"
"Create factor variable","Faktör değişkeni oluştur","Automatically translated"
"Data has %s observations and %s variables.","Veri %s gözlem ve %s değişken içeriyor.",""
"Data ready to be imported!","Veri içeri alınmak için hazır!",""
"Data successfully imported!","Veri başarıyla içeri alındı!",""
"Data successfully updated!","Veri başarıyla güncellendi!",""
"Data wasn't deleted","Veriler silinmedi","Automatically translated"
"Data wasn't updated","Veriler güncellenmedi","Automatically translated"
"Dataset validation:","Veri kümesi doğrulaması:","Automatically translated"
"Date format:","Tarih formatı:",""
"Date to use as origin to convert date/datetime:","Tarih/tarihsaat için başlangıç olarak kullanılacak tarih:",""
"Decimal separator:","Ondalık ayıracı:",""
"Delete","Silmek",""
"Do you want to delete the selected row ?","Seçilen satırı silmek istiyor musunuz?",""
"Encoding:","Kodlama:",""
"Enter URL to data:","Verilerin URL'sini girin:","Automatically translated"
"Enter a shareable link to a GoogleSheet:","GoogleSheet için paylaşılabilir bir bağlantı girin:",""
"Enter an expression to define new column:","Yeni sütunu tanımlamak için bir ifade girin:","Automatically translated"
"Environment","Ortam",""
"Error","Hata",""
"External file","Dış dosya",""
"Factor variable to reorder:","Yeniden sıralanacak faktör değişkeni:","Automatically translated"
"Failed","Başarısız",""
"First five rows are shown below:","İlk beş satır aşağıda gösterilmektedir:",""
"Googlesheets","Googlesheets",""
"Group calculation by:","Grup hesaplaması:","Automatically translated"
"Help","Yardım",""
"How to import data?","Veri alma nasıl yapılır?",""
"Import","İçeri al",""
"Import Google Spreadsheet","GoogleSheet verisi al",""
"Import Url","URL'yi içe aktar","Automatically translated"
"Import a dataset from an environment","Bir veri setini bir ortamdan al",""
"Import a file","Dosya al",""
"Import data","Veri al",""
"Imported data","İçe aktarılan veriler","Automatically translated"
"Include lowest value","En düşük değeri dahil et","Automatically translated"
"Information","Bilgi",""
"Item has been modified","Öğe değiştirildi",""
"Levels","Seviyeler","Automatically translated"
"List of data.frame...","Veri tablo listesi...",""
"Max:","Maksimum:","Automatically translated"
"Mean:","Anlam:","Automatically translated"
"Method:","Yöntem:","Automatically translated"
"Min:","Min:","Automatically translated"
"Missing values characters:","Eksik değer karakterleri:","Automatically translated"
"Missing:","Eksik:","Automatically translated"
"Most Common:","En Yaygın:","Automatically translated"
"New column name cannot be empty","Yeni sütun adı boş olamaz","Automatically translated"
"New column name:","Yeni sütun adı:","Automatically translated"
"No","Numara",""
"No data selected!","Veri seçilmedi!",""
"No data to display.","Gösterilecek veri yok.",""
"No data.frame here...","Burada veri tablosu yok...",""
"No file selected","Dosya seçilmedi",""
"No file selected:","Dosya seçilmedi:",""
"Not a data.frame","Bir data.frame değil","Automatically translated"
"Nothing pasted yet!","Henüz hiçbir şey yapıştırılmadı!",""
"Number of breaks:","Mola sayısı:","Automatically translated"
"Number of rows:","Satır sayısı:",""
"OK","Tamam",""
"Ooops","Ooops",""
"Paste data here:","Veriyi buraya yapıştır:",""
"Please copy and paste some data in the dialog box above.","Yukarıdaki pencereye birkaç veri kopyalayıp yapıştırın.",""
"Please fill in the required fields","Lütfen gerekli alanları doldurunuz",""
"Please paste a valid GoogleSheet link in the dialog box above.","Yukarıdaki pencereye geçerli bir GoogleSheet bağlantısı yapıştırın.",""
"Please paste a valid link in the dialog box above.","Lütfen yukarıdaki iletişim kutusuna geçerli bir bağlantı yapıştırın.","Automatically translated"
"Registered","Kayıtlı",""
"Required field","gerekli alan",""
"Row has been saved","Satır kaydedildi",""
"Row was not deleted","Satır silinmedi",""
"Rows to skip before reading data:","Verileri okumadan önce atlanacak satırlar:","Automatically translated"
"Sample data by :","Örnek veriler:","Automatically translated"
"Save","Kaydetmek",""
"Select","Seçme",""
"Select a data.frame:","Veri tablosu seçin:",""
"Select an environment in which to search:","Arama yapılacak ortamı seçin:",""
"Select environment","Ortam seç",""
"Select sheet to import:","İçeri almak için sayfa seçin:",""
"Some operations are not allowed","Bazı işlemlere izin verilmiyor","Automatically translated"
"Something went wrong...","Bir şeyler ters gitti...",""
"Sort count","Sıralama sayısı","Automatically translated"
"The URL that appear in your browser, in that case the current sheet will be read","Tarayıcınızda görünen URL, bu durumda geçerli sayfa okunacak",""
"The row has been deleted","Satır silinemiyor, platform yöneticisiyle iletişime geçin",""
"The row wasn't added to the data","Satır verilere eklenmedi","Automatically translated"
"URL","URL'si","Automatically translated"
"Unable to add the row, contact the platform administrator","Satır eklenemiyor, platform yöneticisiyle iletişime geçin",""
"Unable to delete the row, contact platform administrator","",""
"Unable to modify the item, contact the platform administrator","Öğe değiştirilemiyor, platform yöneticisiyle iletişime geçin",""
"Unique values:","Benzersiz değerler:","Automatically translated"
"Unique:","Eşsiz:","Automatically translated"
"Update","Güncelle",""
"Update & select variables","Güncelle & değişkenleri seç",""
"Update factor variable","Faktör değişkenini güncelle","Automatically translated"
"Update levels of a factor","Bir faktörün düzeylerini güncelleme","Automatically translated"
"Update row","Satırı güncelle",""
"Upload a file:","Dosya yükle:",""
"Use a data.frame from your environment or from the environment of a package.","Kendi ortamanızdan ya da bir paket ortamanından bir veri tablosu kullanın.",""
"Valid number of columns","Geçerli sütun sayısı","Automatically translated"
"Valid number of rows","Geçerli satır sayısı","Automatically translated"
"Validate","Doğrula",""
"Validation:","Doğrulama:",""
"Variable to cut:","Kesilecek değişken:","Automatically translated"
"View","Görüntüle",""
"Warning","Uyarı","Automatically translated"
"Yes","Evet",""
"You can either use:","Ya da şunu kullanın:",""
"You can import %s files","%s dosya içeri alabilirsiniz",""
"You can import from flat table format supported by","tarafından desteklenen düz tablo formatından içe aktarabilirsiniz.","Automatically translated"
"click to see data","veriyi görmek için tıklayın",""
"data has %s obs. of %s variables.","veri %s gözlem %s değişken içeriyor.",""
"if several use a comma ',' to separate them","birkaç kişi onları ayırmak için ',' virgülünü kullanıyorsa","Automatically translated"
"lines, i.e.","çizgiler, yani","Automatically translated"
"number of rows","satır sayısı","Automatically translated"
"proportion of rows","satırların oranı","Automatically translated"
"rows","satırlar","Automatically translated"
"then enter an expression before clicking on the button above to validate or on ","ardından doğrulamak için yukarıdaki düğmeye tıklamadan önce bir ifade girin veya","Automatically translated"
"to delete it.","silmek için.","Automatically translated"
"Sort by count","Sayıya göre sırala","Automatically translated"
"Sort by levels","Düzeylere göre sırala","Automatically translated"
